fastq	fastq_r2	subpool	sample	plate	lane	run	platform	droplets_included	learning_rate	expected_cells
/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13A_S1_L001_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13A_S1_L001_R2_001.fastq.gz	Subpool_1	S1	igvf_012	L001	1	next	40000	0.00005	13000
/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13A_S1_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13A_S1_L002_R2_001.fastq.gz	Subpool_1	S1	igvf_012	L002	1	next	40000	0.00005	13000
/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13B_S2_L001_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13B_S2_L001_R2_001.fastq.gz	Subpool_2	S2	igvf_012	L001	1	next	40000	0.00005	13000
/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13B_S2_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13B_S2_L002_R2_001.fastq.gz	Subpool_2	S2	igvf_012	L002	1	next	40000	0.00005	13000
/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13C_S3_L001_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13C_S3_L001_R2_001.fastq.gz	Subpool_3	S3	igvf_012	L001	1	next	40000	0.00005	13000
/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13C_S3_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13C_S3_L002_R2_001.fastq.gz	Subpool_3	S3	igvf_012	L002	1	next	40000	0.00005	13000
/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13D_S4_L001_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13D_S4_L001_R2_001.fastq.gz	Subpool_4	S4	igvf_012	L001	1	next	40000	0.00005	13000
/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13D_S4_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13D_S4_L002_R2_001.fastq.gz	Subpool_4	S4	igvf_012	L002	1	next	40000	0.00005	13000
/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13E_S5_L001_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13E_S5_L001_R2_001.fastq.gz	Subpool_5	S5	igvf_012	L001	1	next	40000	0.00005	13000
/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13E_S5_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13E_S5_L002_R2_001.fastq.gz	Subpool_5	S5	igvf_012	L002	1	next	40000	0.00005	13000
/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13F_S6_L001_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13F_S6_L001_R2_001.fastq.gz	Subpool_6	S6	igvf_012	L001	1	next	40000	0.00005	13000
/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13F_S6_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13F_S6_L002_R2_001.fastq.gz	Subpool_6	S6	igvf_012	L002	1	next	40000	0.00005	13000
/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13G_S7_L001_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13G_S7_L001_R2_001.fastq.gz	Subpool_7	S7	igvf_012	L001	1	next	40000	0.00005	13000
/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13G_S7_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13G_S7_L002_R2_001.fastq.gz	Subpool_7	S7	igvf_012	L002	1	next	40000	0.00005	13000
/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13H_S8_L001_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13H_S8_L001_R2_001.fastq.gz	Subpool_8	S8	igvf_012	L001	1	next	40000	0.00005	13000
/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13H_S8_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_012/nextseq/012_13H_S8_L002_R2_001.fastq.gz	Subpool_8	S8	igvf_012	L002	1	next	40000	0.00005	13000
