fastq	fastq_r2	subpool	sample	plate	lane	run	platform	droplets_included	learning_rate	expected_cells
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_7_S6_L001_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_7_S6_L001_R2_001.fastq.gz	Subpool_UDI07	S6	igvf_013	L001	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_7_S6_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_7_S6_L002_R2_001.fastq.gz	Subpool_UDI07	S6	igvf_013	L002	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_7_S6_L003_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_7_S6_L003_R2_001.fastq.gz	Subpool_UDI07	S6	igvf_013	L003	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_7_S6_L004_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_7_S6_L004_R2_001.fastq.gz	Subpool_UDI07	S6	igvf_013	L004	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_8_S7_L001_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_8_S7_L001_R2_001.fastq.gz	Subpool_UDI08	S7	igvf_013	L001	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_8_S7_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_8_S7_L002_R2_001.fastq.gz	Subpool_UDI08	S7	igvf_013	L002	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_8_S7_L003_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_8_S7_L003_R2_001.fastq.gz	Subpool_UDI08	S7	igvf_013	L003	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_8_S7_L004_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_8_S7_L004_R2_001.fastq.gz	Subpool_UDI08	S7	igvf_013	L004	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_9_S8_L001_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_9_S8_L001_R2_001.fastq.gz	Subpool_UDI09	S8	igvf_013	L001	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_9_S8_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_9_S8_L002_R2_001.fastq.gz	Subpool_UDI09	S8	igvf_013	L002	1	nova	200000	0.00005	67000
