Gene,Tissue,Celltype,Subtype,Reference
Smc1b,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Smcp,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Spa17,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Spo11,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Stag3,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Stk31,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Syce1,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Syce3,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Sycp1,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Sycp2,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Sycp3,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Taf3,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Taf4b,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Tbp,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Tdrd1,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Tesk1,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Tex11,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Tex14,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Tex15,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Ybx2,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Zfp318,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Zmynd15,GonadsMale,Spermatocyte,Spermatocyte,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Cdh1,GonadsMale,Spermatogonia,Spermatogonia,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Crabp1,GonadsMale,Spermatogonia,Spermatogonia,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Dazl,GonadsMale,Spermatogonia,Spermatogonia,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Epcam,GonadsMale,Spermatogonia,Spermatogonia,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Esrp1,GonadsMale,Spermatogonia,Spermatogonia,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Gfra1,GonadsMale,Spermatogonia,Spermatogonia,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Id4,GonadsMale,Spermatogonia,Spermatogonia,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Zbtb16,GonadsMale,Spermatogonia,Spermatogonia,https://www.nature.com/articles/s41598-018-24725-0#Sec12
Cd34,GonadsMale,Stromal,Stromal,https://elifesciences.org/articles/55474
Col1a2,GonadsMale,Stromal,Stromal,https://elifesciences.org/articles/55474
Gsn,GonadsMale,Stromal,Stromal,https://elifesciences.org/articles/55474
Tpm2,GonadsMale,Stromal,Stromal,https://elifesciences.org/articles/55474
Vim,GonadsMale,Stromal,Stromal,https://elifesciences.org/articles/55474
Adipoq,Heart,Adipocyte,Adipocyte,https://www.panglaodb.se/markers.html?cell_type=%27Adipocytes%27
Pnpla2,Heart,Adipocyte,Adipocyte,https://www.panglaodb.se/markers.html?cell_type=%27Adipocytes%27
Dll4,Heart,Endothelial,Arterial_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Efnb2,Heart,Endothelial,Arterial_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Hey1,Heart,Endothelial,Arterial_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Hey2,Heart,Endothelial,Arterial_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Atp2a2,Heart,Cardiomyocyte,Atrial_cardiomyocyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Myh6,Heart,Cardiomyocyte,Atrial_cardiomyocyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Bcl11a,Heart,Lymphoid,B_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3526365/
Ikzf1,Heart,Lymphoid,B_cell,https://pubmed.ncbi.nlm.nih.gov/11870616/
Ikzf3,Heart,Lymphoid,B_cell,https://pubmed.ncbi.nlm.nih.gov/9806640/
Ms4a1,Heart,Lymphoid,B_cell,https://www.cell.com/cell-reports/pdf/S2211-1247(17)31909-5.pdf
Cntn2,Heart,Cardiomyocyte,Cardiac_conduction_system,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Gja1,Heart,Cardiomyocyte,Cardiac_conduction_system,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Hcn4,Heart,Cardiomyocyte,Cardiac_conduction_system,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Smoc2,Heart,Cardiomyocyte,Cardiac_conduction_system,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Tbx3,Heart,Cardiomyocyte,Cardiac_conduction_system,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Actc1,Heart,Cardiomyocyte,Cardiomyocyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Gata4,Heart,Cardiomyocyte,Cardiomyocyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4449121/
Mybpc3,Heart,Cardiomyocyte,Cardiomyocyte,https://www.nature.com/articles/s41586-020-2797-4
Ryr2,Heart,Cardiomyocyte,Cardiomyocyte,https://www.nature.com/articles/s41586-020-2797-4
Tnnc1,Heart,Cardiomyocyte,Cardiomyocyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Tnni3,Heart,Cardiomyocyte,Cardiomyocyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Tnnt2,Heart,Cardiomyocyte,Cardiomyocyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Tpm1,Heart,Cardiomyocyte,Cardiomyocyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Ttn,Heart,Cardiomyocyte,Cardiomyocyte,https://www.nature.com/articles/s41586-020-2797-4
Dpp4,Heart,Dendritic,Dendritic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Nrg1,Heart,Endocardial,Endocardial,https://www.nature.com/articles/s44161-022-00028-6
Sox17,Heart,Endocardial,Endocardial,https://www.nature.com/articles/s41598-019-48321-y
Cdh5,Heart,Endothelial,Endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Emcn,Heart,Endothelial,Endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Eng,Heart,Endothelial,Endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Flt1,Heart,Endothelial,Endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Kdr,Heart,Endothelial,Endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Pecam1,Heart,Endothelial,Endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Ptprb,Heart,Endothelial,Endothelial,https://elifesciences.org/articles/48474
Tek,Heart,Endothelial,Endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Tie1,Heart,Endothelial,Endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Abi1,Heart,Epicardial,Epicardial,https://www.pnas.org/doi/10.1073/pnas.1012316108
Aldh1a2,Heart,Epicardial,Epicardial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8216715/
Gata5,Heart,Epicardial,Epicardial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8216715/
Wt1,Heart,Epicardial,Epicardial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8216715/
Col1a1,Heart,Fibroblast,Fibroblast,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Col3a1,Heart,Fibroblast,Fibroblast,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Dcn,Heart,Fibroblast,Fibroblast,https://www.nature.com/articles/s44161-022-00028-6
Ddr2,Heart,Fibroblast,Fibroblast,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Mgp,Heart,Fibroblast,Fibroblast,https://www.nature.com/articles/s44161-022-00028-6
Pdgfra,Heart,Fibroblast,Fibroblast,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Ccr1,Heart,Granulocyte,Granulocyte,https://www.cell.com/cell-reports/pdf/S2211-1247(17)31909-5.pdf
Csf3r,Heart,Granulocyte,Granulocyte,https://www.cell.com/cell-reports/pdf/S2211-1247(17)31909-5.pdf
S100a9,Heart,Granulocyte,Granulocyte,https://www.cell.com/cell-reports/pdf/S2211-1247(17)31909-5.pdf
Flt4,Heart,Endothelial,Lymphatic_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Lyve1,Heart,Endothelial,Lymphatic_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Prox1,Heart,Endothelial,Lymphatic_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Adgre1,Heart,Macrophage,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Ccr2,Heart,Macrophage,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Cx3cr1,Heart,Macrophage,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
F13a1,Heart,Macrophage,Macrophage,https://www.ahajournals.org/doi/10.1161/CIRCRESAHA.117.312509
Fcgr1,Heart,Macrophage,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Itgam,Heart,Macrophage,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Mrc1,Heart,Macrophage,Macrophage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Abcc9,Heart,Pericyte,Pericyte,https://www.frontiersin.org/articles/10.3389/fcvm.2022.876591/full
Cspg4,Heart,Pericyte,Pericyte,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.1002/stem.1868
Mcam,Heart,Pericyte,Pericyte,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.1002/stem.1868
P2ry14,Heart,Pericyte,Pericyte,https://www.cell.com/cell-reports/pdf/S2211-1247(17)31909-5.pdf
Pdgfrb,Heart,Pericyte,Pericyte,https://stemcellsjournals.onlinelibrary.wiley.com/doi/full/10.1002/stem.1868
Cadm2,Heart,Glial,Schwann,https://www.jneurosci.org/content/jneuro/41/7/1393.full.pdf
Plp1,Heart,Glial,Schwann,https://www.cell.com/cell-reports/pdf/S2211-1247(17)31909-5.pdf
Postn,Heart,Glial,Schwann,https://pubmed.ncbi.nlm.nih.gov/33582160/
Sox10,Heart,Glial,Schwann,https://www.panglaodb.se/markers.html?cell_type=%27Schwann%20cells%27
Acta2,Heart,Smooth_muscle,Smooth_muscle,https://www.cell.com/cell-reports/pdf/S2211-1247(17)31909-5.pdf
Cnn2,Heart,Smooth_muscle,Smooth_muscle,https://www.frontiersin.org/articles/10.3389/fimmu.2020.599415/full
Eln,Heart,Smooth_muscle,Smooth_muscle,https://www.sciencedirect.com/science/article/pii/S2211124719308721
Myh11,Heart,Smooth_muscle,Smooth_muscle,https://www.frontiersin.org/articles/10.3389/fimmu.2020.599415/full
Myl6,Heart,Smooth_muscle,Smooth_muscle,https://www.sciencedirect.com/science/article/pii/B9780128225462000149
Myl9,Heart,Smooth_muscle,Smooth_muscle,https://www.panglaodb.se/markers.html?cell_type=%27Smooth%20muscle%20cells%27
Mylk,Heart,Smooth_muscle,Smooth_muscle,https://www.panglaodb.se/markers.html?cell_type=%27Smooth%20muscle%20cells%27
Tagln,Heart,Smooth_muscle,Smooth_muscle,https://www.frontiersin.org/articles/10.3389/fimmu.2020.599415/full
Il7r,Heart,Lymphoid,T_cell,https://www.panglaodb.se/markers.html?cell_type=%27T%20cells%27
Themis,Heart,Lymphoid,T_cell,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2848698/
Ephb4,Heart,Endothelial,Venous_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Nr2f2,Heart,Endothelial,Venous_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Nrp2,Heart,Endothelial,Venous_endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8149764/
Myh7,Heart,Cardiomyocyte,Ventricular_cardiomyocyte,https://www.nature.com/articles/s41586-020-2797-4
Myl2,Heart,Cardiomyocyte,Ventricular_cardiomyocyte,https://www.nature.com/articles/s41586-020-2797-4
Aqp4,HypothalamusPituitary,Astrocyte,Astrocyte,https://www.nature.com/articles/s41598-018-27293-5#Sec21
Clu,HypothalamusPituitary,Astrocyte,Astrocyte,https://www.nature.com/articles/s41598-018-27293-5#Sec21
Cpe,HypothalamusPituitary,Astrocyte,Astrocyte,https://www.nature.com/articles/s41598-018-27293-5#Sec21
Gfap,HypothalamusPituitary,Astrocyte,Astrocyte,https://www.abcam.com/neuroscience/astrocyte-markers-and-functions
Gja1,HypothalamusPituitary,Astrocyte,Astrocyte,https://www.nature.com/articles/s41598-018-27293-5#Sec21
Slc1a2,HypothalamusPituitary,Astrocyte,Astrocyte,https://www.abcam.com/neuroscience/astrocyte-markers-and-functions
Slc1a3,HypothalamusPituitary,Astrocyte,Astrocyte,https://www.abcam.com/neuroscience/astrocyte-markers-and-functions
Cables1,HypothalamusPituitary,Endocrine,Corticotrope,https://pubmed.ncbi.nlm.nih.gov/26695862/
Crhr1,HypothalamusPituitary,Endocrine,Corticotrope,https://www.sciencedirect.com/science/article/pii/S2451965022000497
Doc2g,HypothalamusPituitary,Endocrine,Corticotrope,https://www.sciencedirect.com/science/article/pii/S2451965022000497
Fam89a,HypothalamusPituitary,Endocrine,Corticotrope,https://www.sciencedirect.com/science/article/pii/S2451965022000497
Gpc5,HypothalamusPituitary,Endocrine,Corticotrope,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240904/
Il22,HypothalamusPituitary,Endocrine,Corticotrope,https://www.sciencedirect.com/science/article/pii/S2451965022000497
Nr3c1,HypothalamusPituitary,Endocrine,Corticotrope,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Tbx19,HypothalamusPituitary,Endocrine,Corticotrope,https://www.sciencedirect.com/science/article/pii/S2451965022000497
Bsg,HypothalamusPituitary,Endothelial,Endothelial,https://www.nature.com/articles/s41598-018-27293-5
Flt1,HypothalamusPituitary,Endothelial,Endothelial,https://www.nature.com/articles/s41598-018-27293-5
Itm2a,HypothalamusPituitary,Endothelial,Endothelial,https://www.nature.com/articles/s41598-018-27293-5
Pecam1,HypothalamusPituitary,Endothelial,Endothelial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2867331/pdf/nihms-200375.pdf
Ptprb,HypothalamusPituitary,Endothelial,Endothelial,https://www.nature.com/articles/s41598-018-27293-5
Tcf4,HypothalamusPituitary,Endothelial,Endothelial,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Vwf,HypothalamusPituitary,Endothelial,Endothelial,https://www.nature.com/articles/s41598-018-27293-5
Zeb1,HypothalamusPituitary,Endothelial,Endothelial,https://www.nature.com/articles/s41467-021-22859-w#Sec48
2410004P03Rik,HypothalamusPituitary,Ependymal,Ependymal,http://mousebrain.org/celltypes/EPEN.html
Ccdc153,HypothalamusPituitary,Ependymal,Ependymal,http://mousebrain.org/celltypes/EPEN.html
Dnah12,HypothalamusPituitary,Ependymal,Ependymal,http://mousebrain.org/genes/Dnah12.html
Dnah6,HypothalamusPituitary,Ependymal,Ependymal,http://mousebrain.org/genes/Dnah6.html
Dynlrb2,HypothalamusPituitary,Ependymal,Ependymal,http://mousebrain.org/celltypes/EPEN.html
Hdc,HypothalamusPituitary,Ependymal,Ependymal,http://mousebrain.org/celltypes/EPEN.html
Tmem212,HypothalamusPituitary,Ependymal,Ependymal,http://mousebrain.org/celltypes/EPEN.html
Gad1,HypothalamusPituitary,GABA,GABA,https://www.frontiersin.org/articles/10.3389/fneur.2021.745159/full
Gad2,HypothalamusPituitary,GABA,GABA,https://www.frontiersin.org/articles/10.3389/fneur.2021.745159/full
Slc17a7,HypothalamusPituitary,GLUT,GLUT,https://www.nature.com/articles/nn.4216
Cga,HypothalamusPituitary,Endocrine,Gonadotrope,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Foxl2,HypothalamusPituitary,Endocrine,Gonadotrope,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Foxp2,HypothalamusPituitary,Endocrine,Gonadotrope,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240904/?report=classic
Fshb,HypothalamusPituitary,Endocrine,Gonadotrope,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Gnrhr,HypothalamusPituitary,Endocrine,Gonadotrope,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240904/
Greb1,HypothalamusPituitary,Endocrine,Gonadotrope,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Lhb,HypothalamusPituitary,Endocrine,Gonadotrope,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Nr5a1,HypothalamusPituitary,Endocrine,Gonadotrope,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Pitx1,HypothalamusPituitary,Endocrine,Gonadotrope,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Gnaq,HypothalamusPituitary,Endocrine,Gonadotrope_estrogen_activated,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Greb1,HypothalamusPituitary,Endocrine,Gonadotrope_estrogen_activated,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Pgr,HypothalamusPituitary,Endocrine,Gonadotrope_estrogen_activated,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Nrxn3,HypothalamusPituitary,Endocrine,Lactosomatotrope,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Sgcz,HypothalamusPituitary,Endocrine,Lactosomatotrope,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Agtr1a,HypothalamusPituitary,Endocrine,Lactrotrope,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240904/
Prl,HypothalamusPituitary,Endocrine,Lactrotrope,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Syndig1,HypothalamusPituitary,Endocrine,Lactrotrope,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240904/
Crhbp,HypothalamusPituitary,Endocrine,Lactrotrope_estrogen_activated,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Greb1,HypothalamusPituitary,Endocrine,Lactrotrope_estrogen_activated,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Doc2g,HypothalamusPituitary,Endocrine,Melanotrope,https://www.sciencedirect.com/science/article/pii/S2451965022000497
Esm1,HypothalamusPituitary,Endocrine,Melanotrope,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240904/
Fam89a,HypothalamusPituitary,Endocrine,Melanotrope,https://www.sciencedirect.com/science/article/pii/S2451965022000497
Il22,HypothalamusPituitary,Endocrine,Melanotrope,https://www.sciencedirect.com/science/article/pii/S2451965022000497
Oacyl,HypothalamusPituitary,Endocrine,Melanotrope,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Pomc,HypothalamusPituitary,Endocrine,Melanotrope,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Ccp110,HypothalamusPituitary,Oligodendrocyte,MFOL,http://mousebrain.org/celltypes/MFOL1.html
Hhip,HypothalamusPituitary,Oligodendrocyte,MFOL,http://mousebrain.org/celltypes/MFOL1.html
Snx33,HypothalamusPituitary,Oligodendrocyte,MFOL,http://mousebrain.org/celltypes/MFOL1.html
Cd83,HypothalamusPituitary,Microglia,Microglia,https://www.nature.com/articles/s41598-018-27293-5#Sec21
Csf1r,HypothalamusPituitary,Microglia,Microglia,https://www.nature.com/articles/s41598-018-27293-5#Sec21
Ctss,HypothalamusPituitary,Microglia,Microglia,https://www.nature.com/articles/s41598-018-27293-5#Sec21
Cx3cr1,HypothalamusPituitary,Microglia,Microglia,https://www.nature.com/articles/s41598-018-27293-5#Sec21
Itgam,HypothalamusPituitary,Microglia,Microglia,https://www.nature.com/articles/s41598-018-27293-5#Sec21
P2ry12,HypothalamusPituitary,Microglia,Microglia,https://www.nature.com/articles/s41598-018-27293-5#Sec21
Mal,HypothalamusPituitary,Oligodendrocyte,MOL,http://mousebrain.org/celltypes/MFOL2.html
Mog,HypothalamusPituitary,Oligodendrocyte,MOL,http://mousebrain.org/celltypes/MFOL2.html
Ninj2,HypothalamusPituitary,Oligodendrocyte,MOL,http://mousebrain.org/celltypes/MFOL2.html
Ppp1r14a,HypothalamusPituitary,Oligodendrocyte,MOL,http://mousebrain.org/celltypes/MFOL2.html
Mir124a-1hg,HypothalamusPituitary,Neuron,Neuron,https://www.nature.com/articles/ncomms10045
Snap25,HypothalamusPituitary,Neuron,Neuron,https://www.nature.com/articles/nn.4216
Cldn11,HypothalamusPituitary,Oligodendrocyte,Oligodendrocyte,https://www.nature.com/articles/s41598-018-27293-5#Sec21
Mag,HypothalamusPituitary,Oligodendrocyte,Oligodendrocyte,https://www.nature.com/articles/s41598-018-27293-5#Sec21
Mbp,HypothalamusPituitary,Oligodendrocyte,Oligodendrocyte,https://www.nature.com/articles/s41598-018-27293-5#Sec21
Mobp,HypothalamusPituitary,Oligodendrocyte,Oligodendrocyte,https://www.nature.com/articles/s41598-018-27293-5#Sec21
Opalin,HypothalamusPituitary,Oligodendrocyte,Oligodendrocyte,http://mousebrain.org/celltypes/MFOL2.html
Plp1,HypothalamusPituitary,Oligodendrocyte,Oligodendrocyte,https://www.nature.com/articles/s41598-018-27293-5#Sec21
C1ql1,HypothalamusPituitary,OPC,OPC,http://mousebrain.org/celltypes/OPC.html
Cntn1,HypothalamusPituitary,OPC,OPC,https://www.nature.com/articles/s41598-018-27293-5#Sec21
Pdgfra,HypothalamusPituitary,OPC,OPC,http://mousebrain.org/celltypes/OPC.html
Tnr,HypothalamusPituitary,OPC,OPC,https://www.nature.com/articles/s41598-018-27293-5#Sec21
Mcam,HypothalamusPituitary,Pericyte,Pericyte,https://www.frontiersin.org/articles/10.3389/fcvm.2018.00078/full
Pdgfrb,HypothalamusPituitary,Pericyte,Pericyte,https://pubmed.ncbi.nlm.nih.gov/32959418/
Adm,HypothalamusPituitary,Glial,Pituicyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6984808/
Apoe,HypothalamusPituitary,Glial,Pituicyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6984808/
Col13a1,HypothalamusPituitary,Glial,Pituicyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6984808/
Col25a1,HypothalamusPituitary,Glial,Pituicyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6984808/
Gfap,HypothalamusPituitary,Glial,Pituicyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6984808/
Gja1,HypothalamusPituitary,Glial,Pituicyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6984808/
Rax,HypothalamusPituitary,Glial,Pituicyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6984808/
S100b,HypothalamusPituitary,Glial,Pituicyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6984808/
Scn7a,HypothalamusPituitary,Glial,Pituicyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6984808/
Srebf1,HypothalamusPituitary,Glial,Pituicyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6984808/
Vegfa,HypothalamusPituitary,Glial,Pituicyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6984808/
Vim,HypothalamusPituitary,Glial,Pituicyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6984808/
Cyp2f2,HypothalamusPituitary,Stem cell,Pituitary_stem,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240904/
Rbpms,HypothalamusPituitary,Stem cell,Pituitary_stem,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Sox2,HypothalamusPituitary,Stem cell,Pituitary_stem,https://www.pnas.org/doi/full/10.1073/pnas.0707886105
Dpp10,HypothalamusPituitary,Endocrine,Somatotrope,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Gh,HypothalamusPituitary,Endocrine,Somatotrope,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Ghrhr,HypothalamusPituitary,Endocrine,Somatotrope,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240904/
Lhfpl3,HypothalamusPituitary,Endocrine,Somatotrope,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Oit1,HypothalamusPituitary,Endocrine,Somatotrope,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Pappa2,HypothalamusPituitary,Endocrine,Somatotrope,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240904/
Rem1,HypothalamusPituitary,Endocrine,Somatotrope,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Tcerg1l,HypothalamusPituitary,Endocrine,Somatotrope,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Dio2,HypothalamusPituitary,Endocrine,Thyrotrope,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240904/
Trhr,HypothalamusPituitary,Endocrine,Thyrotrope,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240904/
Tshb,HypothalamusPituitary,Endocrine,Thyrotrope,https://www.nature.com/articles/s41467-021-22859-w#Sec48
Dcn,HypothalamusPituitary,VLMC,VLMC,http://mousebrain.org/celltypes/VLMC1.html
Gjb2,HypothalamusPituitary,VLMC,VLMC,http://mousebrain.org/celltypes/VLMC1.html
Igf2,HypothalamusPituitary,VLMC,VLMC,http://mousebrain.org/celltypes/VLMC1.html
Ptgds,HypothalamusPituitary,VLMC,VLMC,http://mousebrain.org/celltypes/VLMC2.html
Slc6a13,HypothalamusPituitary,VLMC,VLMC,http://mousebrain.org/celltypes/VLMC1.html
Cdkn1c,Kidney,Podocyte,Adult_podocyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Nphs1,Kidney,Podocyte,Adult_podocyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Nphs2,Kidney,Podocyte,Adult_podocyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Synpo,Kidney,Podocyte,Adult_podocyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Wt1,Kidney,Podocyte,Adult_podocyte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Bmx,Kidney,Endothelial,Arterioles_arteries,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
Cxcl12,Kidney,Endothelial,Arterioles_arteries,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9233501/
